dx,interp_l1,interp_l1_rate,interp_l2,interp_l2_rate,interp_linf,interp_linf_rate,lap_l1,lap_l1_rate,lap_l2,lap_l2_rate,lap_linf,lap_linf_rate
0.987056,0.387454,---,0.333242,---,0.330169,---,0.537119,---,0.495795,---,0.452717,---
0.493528,0.141629,1.45191,0.154872,1.1055,0.166237,0.989965,0.501199,0.099856,0.447932,0.146463,0.385173,0.233103
0.246764,0.0412139,1.78091,0.0467003,1.72957,0.0517334,1.68407,0.210706,1.25015,0.221648,1.01501,0.210658,0.870601
0.123382,0.00941737,2.12974,0.0101172,2.20663,0.010776,2.26328,0.0681972,1.62745,0.0693869,1.67554,0.0682918,1.62512
0.061691,0.00140808,2.74159,0.00145392,2.79878,0.00149893,2.84581,0.0134635,2.34066,0.0135801,2.35317,0.0135131,2.33735
0.0308455,0.000120405,3.54776,0.000122062,3.57426,0.000123712,3.59888,0.00150245,3.16367,0.00150851,3.1703,0.00150618,3.16539
0.0154227,5.15E-06,4.54814,5.18E-06,4.55966,5.21E-06,4.57087,8.30E-05,4.17745,8.32E-05,4.18071,8.31E-05,4.17918
