dx,interp_l1,interp_l1_rate,interp_l2,interp_l2_rate,interp_linf,interp_linf_rate,lap_l1,lap_l1_rate,lap_l2,lap_l2_rate,lap_linf,lap_linf_rate
1.5,0.509918,---,0.307227,---,0.280166,---,1.31685,---,1.65578,---,2.46787,---
0.75,0.077423,2.71943,0.082701,1.89333,0.0873674,1.68111,0.278345,2.24214,0.273587,2.59744,0.255853,3.26988
0.375,0.00570159,3.76332,0.00721209,3.51942,0.00938786,3.21823,0.0427222,2.70381,0.0474466,2.52762,0.0499706,2.35616
0.1875,0.000309384,4.20389,0.000397784,4.18036,0.000489127,4.26252,0.00407887,3.38874,0.00432931,3.4541,0.00454585,3.45846
0.09375,1.20E-05,4.68785,1.36E-05,4.8663,1.52E-05,5.0119,0.000205437,4.31141,0.000210884,4.35962,0.000216255,4.39374
0.046875,2.10E-07,5.83879,2.21E-07,5.94913,2.32E-07,6.03103,4.47E-06,5.52169,4.52E-06,5.54329,4.57E-06,5.56345
0.0234375,1.26E-09,7.37676,1.29E-09,7.4217,1.32E-09,7.45532,3.38E-08,7.04792,3.40E-08,7.05726,3.41E-08,7.06645
